"","BL-25A","FM-90A","FM-90B","FM-118","FMl18","M-45C","M-60","RPK-226"
"","","","","","Plag","","",""
"","Granulites","","","","","Leuco-","Leuco-","Meta-"
"","","","","","","gabbros","gabbros","sediment"
"SiO2","5662","5637","6022","5460","","5103","5359","7289"
"A1203","1698","1693","2118","1708","","1794","1774","1363"
"TiO2","144","143","060","126","","226","111","073"
"FeO*","634","611","213","729","","979","907","493"
"MnO","010","013","003","011","","015","015","005"
"MgO","291","366","074","520","","448","419","205"
"CaO","502","569","486","731","","889","789","106"
"Na20","481","476","643","458","","465","401","208"
"K20","314","231","252","120","","090","117","287"
"PeO5","047","050","017","045","","058","042","011"
"Sr","795","1178","1487","1484","2029","725","694","92"
"Rb","112","43","32","8","205","16","39","105"
"Y","26","17","6","11","04","27","25",""
"Zr","831","71","116","55","","62","148",""
"Hf","197","17","26","14","-","15","47","75"
"Nb","19","15","4","6","03","8","4",""
"Ba","810","815","1050","580","290","385","360","705"
"U","150","102","038","012","-","029","144","214"
"Th","33","32","10","075","-","12","37","158"
"La","394","357","175","173","107","189","152","452"
"Ce","940","809","378","420","160","435","405","957"
"Pr","109","100","41","50","12","61","51","106"
"Nd","432","346","142","239","35","273","204","406"
"Sm","80","64","23","44","04","61","47","80"
"Eu","17","18","18","13","09","14","13","15"
"Gd","60","46","22","34","03","56","44","66"
"Tb","09","07","03","05","01","09","07","11"
"Dy","48","35","13","27","02","476","42","65"
"Ho","08","06","02","04","002","09","09","13"
"Er","24","15","04","09","-","24","24","36"
"Yb","22","13","03","07","-","21","22","31"
"K/Rb","280","448","666","1445","","467","249","230"
"Eu/Eu*","07","09","22","11","87","07","08","06"
