"Samples","Rb","Sr","Sm","Nd","87Rb/86Sr","S7Sr/86Sr","147Sm/144Nd","143Nd/144Nd","eNd(0)","eNd","87Sr/86Sr(I)"
"","","ppm","","","","","","","","","(120my)"
"Granulites","","","","","","","","","","",""
"FM118WR","698","1397","526","2731","00144","070396+_4","01164","0511822+_20","--03","10","070393"
"cpx","033","6347","1290","4684","00151","070398_+6","01666","0511911+22","15","19","070395"
"opx","023","13,36","175","962","0505","070432-t-6","01103","0511892+_18","11","24","070423"
"plag","205","2029","036","366","00029","070392+_4","00593","0511813_+26","-04","17","070391"
"biotite","14810","5699","","","75086","071466_+6","","","","","070185"
"FM90A","3999","1137","638","3464","01015","070406_+4","01114","0511879+_32","08","21","070389"
"FM90B","3012","1432","233","1417","00607","070404+_6","00997","0511896+-26","12","27","070394"
"FM135","1560","1331","428","2269","00338","070395+_3","01141","0511750_+26","--17","--04","070389"
"BL25A","10900","7919","797","4317","03972","070358+4","01116","051J828_+26","-01","11","070390"
"BL34A","7795","1107","674","3427","02034","070427+_4","01189","0511876+_26","08","20","070392"
"Leucogabbros","","","","","","","","","","",""
"M45CWR","1488","7008","611","2731","00612","070384+_4","01354","0512024_+22","37","46","070374"
"cpx","155","2905","1078","2993","01541","070399+_6","02177","0512052+_30","42","39","070373"
"plag","286","1083","140","805","00076","070388+_5","01055","0511977_+20","27","42","070387"
"M60","3735","6733","468","2045","01601","070407_+4","01385","0512008_+26","33","42","070380"
"Ultramafics","","","","","","","","","","",""
"$21Acpx","006","1515","829","3123","00011","070429_+9","01606","0511943_+28","21","26","070429"
"S21Agnt","015","678","314","379","00638","070441___9","05008","0512082+-28","48","01","070430"
"$21BWR","","","635","2929","","","01311","0511936+-22","1,9","30",""
"$21Bcpx","","","786","2787","","","01707","0511911+34","15","19",""
"S21Bgnt","126","660","400","648","00550","070390+-7","03732","0512110_+22","5,4","26","070380"
"BL4A","1762","7413","909","3782","0686l","070522_+8","01454","0511825+-18","-02","06","070405"
"Metasediment","","","","","","","","","","",""
"RPK226","1054","923","800","4063","33050","073679+-9","01192","0511313+_10","--102","--90","073115"
