"Sample","87Sr/86Sr","87Sr/86Sri","143Nd/144Nd","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb"
"DZ02S","0.710428","0.710094","0.512459","17.88","15.57","38.99"
"DZ03","0.711883","0.711413","0.512483","17.94","15.58","39.09"
"DZ06","0.710309","0.710173","0.512473","17.94","15.57","39.05"
"DZ15","0.706260","0.706251","0.512697","18.02","15.56","38.51"
"DZ20","0.706090","0.706023","0.512516","17.91","15.56","39.02"
"DZ43","0.706119","0.706066","0.512489","17.94","15.57","39.13"
"DZ45","0.708589","0.708475","0.512430","18.31","15.61","38.95"
"DZ49","0.706173","0.706137","0.512502","17.87","15.56","39.03"
"DZ52","0.706536","0.706279","0.512521","17.93","15.56","39.03"
"DZ56","","","","17.92","15.54","39.00"
