"","","","","","","","","","MetamorphicTerrane"
"","","","","","","Aleutian","Average","",""
"","MORBa","OIBa","StMichaels","Nowitna","IABc","Andesited","Tozitna","Average","Range"
"SiO2","<50","<50","487","55-62","54-58","53-63","50","69","49-89"
"K/Rb","1100","400","410","291","475","250-375","3617","2296","197-268"
"La/Ybn","10",">10","71","88","7","40-85","32","88","18-168"
"Hf/Th","120","<3","19","05","18","06-19","22","04","038-050"
"Y/Zr","04","015","02","01","025","nd","02","nd","nd"
"Rb/Zr","001","01","01","03","02","02-04","01","03","012-046"
"Ba/La","4","12","11","31","40","36-56","20","21","98-33"
"Sr/Nd","18","23","19","16","48","33-50","12","5","17-93"
"Ba/Th","600","80-130","214","120","325","130-193","163","40","131-715"
"La/Nb","10","07","08","28","1-2","12-34","11","22","15-30"
"Zr/Nb",">300","015","70","158","42","90-34","114","189","117-221"
