"","","Early","","","","",""
"","","CreataceousArc","","","","Kanuti","Typical"
"","","Volcanic","","","","Volcanics","Sample"
"Element","Kcl","(83Pa98)","F=04","F=05","F=06","Range","(315b)"
"","","","AssemblageAa","","","",""
"Ba","013","980","2048","1735","1441","1430-2050","1430"
"Th","003","94","223","182","153","116-195","116"
"Ce","02","655","1258","1094","963","83-129","94"
"Yb","303","157","071","086","097","09-116","14"
"Cr","691","250","55","632","743","616-99","44"
"Rb","006","33","757","6226","5288","72-120","72"
"Nb","025","12","22","19","17","8-15","13"
"Ta","025","074","135","118","106","070-112","093"
"","","","","AssemblageBt'","","",""
"Ba","014","980","2025","1719","1494","",""
"Thc","005","94","219","179","152","",""
"Ce","024","655","1204","1057","941","",""
"Yb","127","157","135","138","142","",""
"Cr","911","250","4262","95","589","",""
"Rb","006","33","757","6226","5288","",""
"Nbc","039","12","189","173","159","",""
"Tac","039","074","117","106","098","",""
