"","Rb","Sr","Ba","La","Yb","Th","Sc","Cr","Co","Hf","K  x  10 -2"
"C o","8","550","280","5.24","1.65","0.86","43","110","34","0.91","33.206"
"C(cid:127)  (334)","50","475","990","32","3.2","5.9","23.9","43.5","25.6","4.6","160.22"
"C1 (332b)","17","603","543","30","3.9","1.8","24.5","64.4","28.5","4.6","68.90"
"D","0.1","0.8","0.01","0.01","0.3","0.05","5","5","3","0.01","0.1"
"F  =  0.5","14.5","611.1","554.5","10.4","2.5","1.6","14.3","36.7","17.0","1.8","60.4"
"F  =  0.4","17.4","625.0","689.7","12.9","2.8","2.0","12.6","32.4","15.5","2.2","72.2"
"F  =  0.3","21.6","639.5","912.1","17.1","3.2","2.6","11.3","28.9","14.2","3.0","89.7"
"F  =  0.2","28.6","654.8","1346.2","25.2","3.8","3.6","10.2","26.2","13.1","4.4","118.6"
"F 
- 
0.1","42.1","670.7","2568.8","48.1","4.5","5.9","9.3","23.9","12.1","8.4","174.8"
"F  =  0.05","55.2","679.0","4705.9","88.1","4.9","8.8","9.0","22.9","11.7","15.3","229.0"
