"","","","","Yukon-KoyukukProvince:BlackburnHillsVolcanicField","","","","","",""
"","80ML10c","80ML60d","80ML5c","80ML62a","80ML10e","80ML53c","80ML43","a","80ML41","d"
"Sn,ppm","23","27","25","27","21","25","17","","29",""
"W,ppm","22","11","48","14","19","24","11","","34",""
"U,ppm","616","675","751","827","663","655","664","","924",""
"Th,ppm","159","222","225","254","178","223","217","","221",""
"F,wt%","002","003","005","002","001","003","002","","004",""
"","","","","Yukon-KoyukukProvidence:BlackburnHillsVolcanicField","","","","","",""
"","80ML40e","80ML42b","80ML50a","80ML40a","80ML48a","80ML39d","80Pa106a","","80Pa106b",""
"Sn,ppm","42","4","36","17","33","31","14","","19",""
"W,ppm","30","31","27","04","27","23","22","","20",""
"U,ppm","867","88","891","377","947","739","469","","539",""
"Th,ppm","254","309","224","201","263","192","202","","19",""
"F,wt%","001","004","002","001","002","001","002","","003",""
"","","","","","","","","","","Nowitna"
"","","","","MetamorphicBorderlands'SischuVolcanicField","","","","","",""
"","","","","","","","","","Volcanic","Field"
"","","75Pa155","79Pa56a","","78Pa36a","77Pa202","77Pa197","","","78PA78"
"Sn,ppm","","3","24","","17","38","32","","","35"
"W,ppm","","360","28","","22","3","24","","","18"
"U,ppm","","667","649","","262","111","412","","","451"
"Th,ppm","","276","283","","125","185","841","","","186"
"F,wt%","","002","002","","03","008","006","","","003"
