"","","","","4øArrad",""
"","Material","Percent","40Arrad,","","CalculatedAge,"
"Field","","","","",""
"","Dated","K20","mol/g","4øArtotal","Ma"
"","","YukonRiverArea","","",""
"81Pa323","basalt","1688+_0004","1200x10-10","093","487+_15"
"","wholerock","","","",""
"81Pa319","biotite","8085","5977X10-10","081","506-+15"
"","hornblende","06515","4524X10-11","053","476+_14"
"","","Kanuti","","",""
"73Pa261B(nearbase)","biotite","899","7846x10-1ø","087","596+_-18"
"73Pa262(neartop)","biotite","884","7227x10-1ø","089","559+_-17"
