"","","","","","Sample","","",""
"","81ML314","81ML303","81ML300","81ML311","81ML319a","81ML307","81Pa400a","81Pa400a"
"Latitude","66ø27'00","66ø23'00","66ø23'00","66ø27'00","66ø24'40","66024'05","66025'50","66026'20"
"Longitude","150o52'00","150o55 ' 10","150o55'00","150o53 ' 10","150o53'00","150o53'40","150o58 ' 10","150o58'20"
"","","","","Weight Percent","","","",""
"SiO2","64.0","65.7","64.0","65.3","65.8","67.8","68.8","71.5"
"A120 3","16.1","15.6","16.0","15.3","15.8","14.8","15.0","13.5"
"Fe20 3","3.01","2.98","3.36","3.1","2.67","2.85","2.89","2.87"
"FeO","1.2","0.84","0.88","0.92","0.84","0.52","0.04","0.12"
"MgO","2.09","1.56","1.98","1.51","1.45","1.14","0.64","0.52"
"CaO","4.55","4.39","4.72","4.08","3.91","3.59","2.82","2.94"
"Na20","3.62","3.45","3.46","3.74","3.48","3.51","3.82","3.18"
"K20","2.55","2.65","2.48","3.3","3.06","2.9","3.53","3.23"
"TiO2","0.58","0.49","0.56","0.58","0.48","0.44","0.5","0.41"
"P205","0.22","0.19","0.27","0.39","0.19","0.19","0.14","0.16"
"MnO","0.01","0.02","0.03","0.07","0.04","0.04","0.04","0.03"
"CO2","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02"
"H20+","0.83","0.8","0.81","0.59","1.6","0.66","0.52","0.33"
"H20-","0.87","0.87","0.8","0.51","0.41","0.48","0.68","0.39"
"Total","99.66","99.55","99.37","99.40","99.74","98.94","99.44","99.20"
"","","","","Parts per  Million","","","",""
"Rb","84","85","78","102","85","118","120","104"
"Cs","2","2","3.1","6","2.7","2.7","5.9","3"
"Sr","610","543","691","875","599","632","453","439"
"Ba","1650","1640","1580","1920","1740","1710","2053","2010"
"La","61","54","59","71","70","66","61","56"
"Ce","95","87","95","122","109","105","96","97"
"Nd","38","27","33","45","37","36","31","28"
"Sm","7","5","5.3","6.9","5","5.1","5","4.7"
"Eu","1.28","1.13","1.28","1.44","1.17","1.16","1.12","0.99"
"Gd","4.7","3.7","5.5","5.9","3.6","4.4","5.3","<3.0"
"Tb","0.52","0.39","0.42","0.5","0.42","0.38","0.45","0.4"
"Tm","0.11","0.14","0.17","0.24","0.19","0.19","n.a.","0.27"
"Yb","1.5","1.2","1.2","1.6","n.a.","1.1","1.5","1.3"
"Lu","0.2","0.16","0.17","0.23","0.15","0.16","0.22","0.2"
"Y","21","16","16","16","16","15","18","17"
"Zr","198","179","184","205","209","219","222","156"
"Hf","4.5","4.2","4.1","4.8","4.6","4.4","5.1","44.2"
"Nb","11","9","10","13","12","13","13","13"
"Ta","0.84","0.77","0.77","1.05","0.89","0.86","1.12","0.87"
"Th","15","15.7","13.6","14.4","16.6","16.2","19.5","18.4"
"U","4.7","3.9","3.3","4.3","4","3.8","5.8","4.8"
"Sc","9.94","8.65","9.38","8.05","7.08","6.48","5.6","6.57"
"Cr","52.3","47.9","56","27.6","29.7","30.1","9.9","28.9"
"Co","11.6","10.9","11.7","9.5","8.8","7.9","4.6","6.3"
"Zn","66","55","66","65","58","46","53","34"
"Sb","0.2","0.3","0.3","0.4","0.3","0.2","0.5","0.4"
