"","","Eagle  Slide","","","","Poisen Creek  Area","",""
"","1","2","3","4","5","6","7","8"
"Sample","81Pa332 b","81Pa334","81Pa330","81Pa327","81Pa321","81Pa319","81Pa326","81Pa323"
"Latitude","63o46'35","63o47'25","63ø48'15","63o57'30","64ø01 '20","64o02'50","64o00'02","63ø48'15"
"Longitude","159o15'20","159o14'00","159o13'00","158o57'00","158o46'30","158o45'05","158o52,00","158o48,20"
"","","","","Weight Percent","","","",""
"SiO2","48.7","57.3","75.3","49.2","55.7","66.3","48.0","60.6"
"A1203","18.4","16.0","13.1","15.4","15.7","14.3","16.7","16.7"
"Fe203","4.23","4.19","0.6","3.53","4.5","2.74","7.28","3.09"
"FeO","6.1","3.0","0.08","7.0","3.8","0.72","3.8","2.8"
"MgO","4.24","3.45","0.15","4.24","3.26","1.27","4.47","2.74"
"CaO","9.31","6.74","0.41","8.49","6.86","2.77","10.8","6.22"
"Na20","3.77","3.75","3.87","3.52","3.57","2.88","3.22","3.60"
"K20","0.81","1.89","4.58","1.31","2.01","3.37","0.71","1.65"
"TiO2","2.17","1.43","0.16","2.04","1.37","0.57","1.98","0.85"
"P205","0.66","0.39",">.05","0.72","0.46","0.18","0.49","0.28"
"MnO","0.19","0.11",">.02","0.19","0.17","0.08","0.15","0.10"
"CO2","0.02","0.02","0.02","3.20","0.08","0.02","0.01","0.01"
"H20+","0.83","0.83","0.50","0.61","0.26","1.80","1.00","0.50"
"H20-","0.5","0.94","0.43","0.4","1.1","2.0","0.92","0.92"
"Total","99.93","100.04","99.20","99.85","98.94","99.26","99.53","100.06"
"","","","","Parts per  Million","","","",""
"Rb","17","50","128","35","61","114","17","36"
"Cs","0.5","2","1.8","1.3","3","3.6","0","0.4"
"Sr","603","475","32","834","678","405","616","454"
"Ba","543","990","800","910","841","1230","464","1040"
"La","30","32","68","35","35","41","24","40"
"Ce","62","60","118","70","66","73","50","68"
"Nd","37","30","47","39","30","30","29","29"
"Sm","7.9","6.1","7.9","7.7","6.2","5.5","6.2","5.4"
"Eu","2.23","1.65","0.38","2","1.59","1.2","1.83","1.35"
"Gd","7.5","5.7","6.1","6.1","5.5","4.5","5.5","4.1"
"Tb","1.08","0.86","0.98","0.88","0.74","0.69","0.88","0.64"
"Tm","0.5","0.41","0.44","0.35","0.4","0.29","0","0.34"
"Yb","3.9","3.2","4.1","3.1","2.4","2.8","2.9","2.4"
"Lu","0.56","0.48","0.52","0.45","0.35","0.43","0.43","0.38"
"Y","32","30","37","28","23","31","27","24"
"Zr","209","191","207","186","166","256","154","204"
"Hf","4.6","4.6","6","4","3.7","5.9","3.3","4.6"
"Nb","14","16","30","16","17","17","15","12"
"Ta","0.91","1.12","2.05","1.15","1.26","1.55","0.78","0.95"
"Th","1.8","5.9","18.9","3.5","7.4","13.4","1.5","5.6"
"U","0.5","1.7","5.2","1.1","2.2","3","0.3","1.5"
"Sc","24.5","23.9","2.65","24.9","17.8","7.35","33.8","14.6"
"Cr","34.4","43.5","4.6","31.1","30.7","6.2","106","35.9"
"Co","28.4","25.6","0.3","31.9","28.4","5.8","39","16.4"
"Zn","95","99","27","96","73","53","103","71"
"Zb","<0.5","0.4","0.6","0","0.3","0.2","0","<0.5"
