"","Table7PbIsotopicAnalysesoftheMaﬁc-UltramaﬁcRockReferenceMaterialsa","","","","","",""
"Sample","RunNumber","208Pb/204Pb","2SE/SD","207Pb/204Pb","2SE/SD","206Pb/204Pb","2SE/SD"
"NIM-P","NIM-P1","374605","32","154713","9","176755","10"
"","NIM-P1rep","374562","31","154698","9","176742","11"
"","NIM-P2","374696","37","154585","11","176420","14"
"","NIM-P3","373970","24","154507","9","175689","10"
"","NIM-P4","374253","20","154542","7","175624","8"
"","AverageNIM-P","374381","668","154587","180","176122","1111"
"","ppm,n54","","1784","","1163","","6310"
"BE-N","BE-N1","390173","23","156013","8","191928","12"
"","BE-N2","390134","26","155994","8","191924","12"
"","BE-N3","390151","28","156008","10","191929","12"
"","BE-N4","390141","25","156002","9","191953","11"
"","BE-N5","390187","28","155998","11","191994","14"
"","BE-N5rep","390116","38","155968","12","191946","16"
"","BE-N22/11","390178","26","155996","10","191962","9"
"","BE-N6/05/14","390205","25","156012","11","191982","10"
"","BE-N10/07/14","390143","28","156005","9","191946","17"
"","BE-N4/11/14","390167","53","156005","15","192004","24"
"","AverageBE-N","390164","48","156004","13","191958","59"
"","ppm,n59","","122","","86","","308"
"BE-NL","BE-NLa","400300","21","156470","7","202227","10"
"","BE-NLb","399354","24","156444","9","201614","11"
"","BE-NLc","401040","26","156506","9","203061","12"
"","BE-NLd","401492","42","156505","15","203638","20"
"","BE-NLe","401316","28","156518","10","203082","13"
"","AverageBE-NL","400700","1759","156489","62","202725","1599"
"","ppm,n55","","4390","","393","","7887"
"DNC-1","DNC-1a","383728","38","156484","13","186851","14"
"","DNC-1b","383800","23","156479","9","186974","10"
"","DNC-1c","383632","37","156460","15","186826","18"
"","DNC-1crep","383617","39","156453","15","186812","17"
"","DNC-11","383705","25","156479","9","186875","10"
"","DNC-12","383761","25","156486","9","186962","10"
"","DNC-13","383706","26","156483","13","186840","14"
"","DNC-14","383757","23","156484","9","186949","10"
"","DNC-15","383785","24","156497","11","186925","10"
"","DNC-15rep","383765","34","156504","14","186892","16"
"","DNC-16","383689","18","156462","7","186905","9"
"","DNC-17","383688","18","156467","6","186860","7"
"","DNC-18","383637","22","156460","8","186790","10"
"","DNC-18rep","383616","31","156465","7","186793","8"
"","DNC-19","383631","23","156459","8","186826","9"
"","DNC-118/11","383696","26","156478","8","186864","10"
"","DNC-16/05/14","383630","23","156464","8","186789","9"
"","DNC-14/11/14","383667","27","156481","12","186799","14"
"","AverageDNC-1","383701","113","156475","24","186869","123"
"","ppm,n515","","295","","153","","659"
"BIR-1a","BIR-1a1","384986","30","156600","11","188504","12"
"","BIR-1a2","384938","28","156583","10","188474","12"
"","BIR-1a2rep","384937","27","156585","9","188476","10"
"","BIR-1a3","384963","21","156587","8","188496","9"
"","BIR-1a4","384977","22","156599","8","188508","9"
"","BIR-1a4rep","384938","19","156582","9","188506","9"
"","BIR-1a5","385013","28","156609","11","188513","13"
"","AverageBIR-1a","384975","55","156595","22","188499","31"
"","ppm,n55","","143","","139","","163"
"BIR-1aL","BIR-1aLa","382912","142","155080","37","186611","90"
"","BIR-1aLb","383814","89","155297","35","186667","48"
"","BIR-1aLc","382808","98","155003","38","186893","41"
"","BIR-1aLd","383109","106","154966","40","186668","51"
"","BIR-1aLe","383436","106","155045","31","186873","34"
"","AverageBIR-1aL","383216","823","155078","260","186742","262"
"","ppm,n55","","2147","","1675","","1400"
"GSR-3","GSR-31","378559","26","154813","9","177612","11"
"","GSR-31rep","378579","21","154826","7","177621","8"
"","GSR-32","378565","27","154813","9","177606","10"
"","GSR-33","378546","27","154810","9","177557","10"
"","GSR-34","378565","29","154813","10","177600","11"
"","GSR-35","378573","27","154820","9","177603","10"
"","AverageGSR-3","378562","20","154814","8","177595","45"
"","ppm,n55","","53","","48","","251"
