"Table7","(continued)","","","","","","",""
"Sample","","RunNumber","208Pb/204Pb","2SE/SD","207Pb/204Pb","2SE/SD","206Pb/204Pb","2SE/SD"
"JB-3L","","JB-3La","382467","25","155335","9","182931","10"
"","","JB-3Lb","382476","30","155346","11","182943","12"
"","","JB-3Lc","382490","22","155346","8","182934","10"
"","","JB-3Lcrep","382526","22","155362","8","182956","9"
"","","JB-3Ld","382523","29","155358","10","182945","12"
"","","JB-3Le","382525","28","155364","9","182952","11"
"","","AverageJB-3L","382496","54","155350","23","182941","17"
"","","ppm,n55","","140","","146","","92"
"ST05-03","","ST05-031","357846","21","153645","7","158943","7"
"","","ST05-032","357654","17","153632","6","158833","6"
"","","ST05-033","357542","34","153741","13","159291","13"
"","","ST05-034","359311","35","153810","11","160284","11"
"","","ST05-035","357951","24","153660","9","159008","8"
"","","AverageST05-03","357748","369","153670","98","159018","391"
"","","ppm,n54","","1031","","638","","2459"
"AN-G","","AN-G1","336568","18","146428","7","140491","6"
"","","AN-G1rep","336543","17","146422","7","140476","5"
"","","AN-G2","335712","25","146294","10","140012","8"
"","","AN-G2rep","335667","20","146277","7","140001","7"
"","","AN-G3","335720","23","146251","9","139834","8"
"","","AN-G3rep","335696","17","146251","7","139847","6"
"","","AN-G4","335263","19","146127","6","139273","7"
"","","AN-G5","335257","17","146174","7","139512","7"
"","","AN-G5rep","335200","16","146154","7","139495","6"
"","","AN-G6","336176","13","146347","5","140266","4"
"","","AN-G7","339186","19","146935","7","143014","7"
"","","AN-G7rep","339194","19","146940","8","143022","8"
"","","AN-G8","335279","20","146124","8","139274","9"
"","","AN-G9","335261","21","146297","7","140283","7"
"","","AN-G10","335583","17","146234","7","139764","6"
"","","AverageAN-G","335647","929","146253","202","139856","890"
"","","ppm,n59","","2769","","1384","","6362"
