"Table 8.","(continued)","","","","","","",""
"Sample","","Run Number","176Hf/177Hf","2SE/SD","143Nd/144Nd","2SE/SD","87Sr/86Sr","2SE/SD"
"GSR-3","","GSR-3 1","0.282986","5","0.512903","7","0.704069","8"
"","","GSR-3 2","0.282991","4","0.512899","7","0.704083","7"
"","","GSR-3 2 rep","","","0.512913","8","",""
"","","GSR-3 3","0.282980","7","0.512907","7","0.704079","8"
"","","GSR-3 4","0.282981","6","0.512893","6","0.704084","8"
"","","GSR-3 5","0.282986","7","0.512905","7","0.704063","8"
"","","Average GSR-3","0.282985","9","0.512901","11","0.704076","18"
"","","ppm","n 5 5","32","n 5 5","22","n 5 5","26"
"GSR-3 L","","GSR-3 La","0.282988","5","0.512906","7","0.703863","7"
"","","GSR-3 Lb","0.282978","6","0.512899","8","0.703866","8"
"","","GSR-3 Lb rep","0.282978","4","","","",""
"","","GSR-3 Lc","0.282986","7","0.512904","7","0.703867","8"
"","","GSR-3 Ld","0.282984","7","0.512900","8","0.703876","8"
"","","GSR-3 Le","0.282983","6","0.512903","7","0.703869","8"
"","","Average GSR-3 L","0.282984","7","0.512902","6","0.703868","10"
"","","ppm","n 5 5","25","n 5 5","11","n 5 5","14"
"NIM-N","","NIM-N 1","0.282813","10","0.511748","8","0.709371","9"
"","","NIM-N 2","0.282839","12","0.511759","8","0.709366","8"
"","","NIM-N 2 rep","","","0.511758","8","",""
"","","NIM-N 3","0.282723","7","0.511744","6","0.709372","8"
"","","NIM-N 4","0.282741","9","0.511740","7","0.709378","9"
"","","NIM-N 5","0.282846","11","0.511744","10","0.709363","8"
"","","NIM-N 6","0.282819","7","0.511750","7","0.709375","7"
"","","NIM-N 7","0.282899","7","0.511761","7","0.709378","11"
"","","NIM-N 7 rep","","","0.511757","6","",""
"","","NIM-N 8","0.282879","6","0.511775","9","0.709374","7"
"","","NIM-N 9","0.282844","9","0.511773","7","0.709382","7"
"","","NIM-N 10","0.282838","6","0.511768","7","0.709375","7"
"","","Average NIM-N","0.282847","57","0.511756","25","0.709373","11"
"","","ppm","n 5 8","202","n 5 10","50","n 5 10","16"
"BHVO-2","","BHVO-2 2","0.283091","6","","","0.703462","8"
"","","BHVO-2 2rep","0.283102","7","","","",""
"","","BHVO-2 7/01/13","0.283105","6","0.513000","6","0.703461","8"
"","","BHVO-2 7/01/13 rep","0.283111","6","","","",""
"","","BHVO-2 29/05","0.283095","5","0.512987","7","0.703473","8"
"","","BHVO-2 29/05 rep","0.283094","5","","","",""
"","","Average BHVO-2","0.283097","14","0.512994","17","0.703465","14"
"","","ppm","n 5 3","50","n 5 2","34","n 5 3","20"
"BHVO-2 L","","BHVO2 La","0.283109","7","0.512985","9","0.703484","8"
"","","BHVO2 La rep","","","0.512991","7","",""
"","","BHVO2 Lb","0.283090","7","0.512975","7","0.703466","8"
"","","BHVO2 Lc","0.283103","7","0.512989","6","0.703465","7"
"","","BHVO2 Ld","0.283101","8","0.512989","9","0.703473","8"
"","","BHVO2 Le","0.283097","6","0.512991","8","0.703472","9"
"","","BHVO2 Lf","0.283107","7","0.512982","7","0.703462","8"
"","","BHVO-2 Lf rep","","","0.512983","7","",""
"","","BHVO2 Lg","","","0.512996","6","0.703469","8"
"","","BHVO2 Lh","","","0.512991","6","0.703464","8"
"","","BHVO2 Li","0.283103","8","0.512989","7","0.703461","7"
"","","BHVO2 Li rep","0.283100","8","","","",""
"","","BHVO2 Lj","0.283106","9","0.512992","7","0.703464","7"
"","","BHVO2 Lj rep","","","","","0.703451","8"
"","","Average BHVO2 L","0.283102","12","0.512988","12","0.703468","14"
"","","ppm","n 5 8","44","n 5 10","24","n 5 10","20"
"W-2","","W-2 a","0.282733","6","","","0.706974","7"
"","","W-2 b","0.282739","7","","","0.706983","8"
"","","W-2 c","0.282731","15","","","0.706991","8"
"","","W-2 1","0.282732","6","0.512532","7","0.706979","10"
"","","W-2 2","0.282723","6","0.512523","6","0.706983","6"
"","","W-2 3","0.282714","9","0.512528","6","0.706979","7"
"","","W-2 4","0.282727","7","0.512545","6","0.706990","8"
"","","W-2 5","0.282732","9","0.512535","6","0.706963","20"
"","","W-2 4 rep","","","0.512508","8","",""
"","","W-2 6","0.282731","4","0.512525","9","0.706972","8"
"","","W-2 6 rep","","","","","0.706985","15"
"","","W-2 7","0.282670","7","0.512536","11","0.706967","10"
"","","W-2 8","0.282663","5","0.512529","7","0.706973","8"
"","","W-2 9","0.282730","6","0.512529","7","0.706976","7"
"","","Average W2","0.282729","14","0.512531","13","0.706977","17"
"","","ppm","n 5 10","48","n 5 9","26","n 5 12","24"
