"","Table11RecommendedReferenceMaterialsforMaﬁc-UltramaﬁcRocks","","","","",""
"","","","","Isotopicsystema,b","",""
"ReferenceMaterial","RockType","Appropriatefor","Pb","Hf","Nd","Sr"
"NIM-P","Pyroxenite","Ultramaﬁcrocks","N","Y","Y","Y"
"BE-N","Melilite-bearingNephelinite","Basalticrocksc,ultramaﬁcrocks","Y","Y","Y","Y"
"DNC-1","Dolerite","Gabbroicrocks,plagioclase-richrocksd","Y","(cid:2)d","Y","Y"
"BIR-1a","OlivineTholeiite","Basalticrocksc","Y","N","Y","Y"
"GSR-3","OlivineBasalt","Basalticrocksc","Y","Y","Y","Y"
"NIM-N","Norite","Gabbroicrocks","N","N","Y","Y"
"BHVO-2","Basalt","Basalticrocksc","Y","Y","Y","Y"
"W-2","Diabase","Gabbroicrocks,plagioclase-richrocks","Y","Y","Y","Y"
"JB-3","High-aluminaBasalt","Basalticrocksc","Y","Y","Y","Y"
"ST05-03","Leucogabbro","Plagioclase-richrocks","N","N","Y","Y"
"AN-G","Anorthosite","Plagioclase-richrocks","N","N","Y","Y"
