"","","NIM-PPyroxenite","","","","AN-GAnorthosite","","","ST05-03Leucogabbro"
"Trace","","","","","","","","",""
"Elements","","","[Dulski,2001]","","","[Carignanetal,2001]","","",""
"(mg/g)","n54","%RSD","n51","n58","%RSD","","n525","n55","%RSD"
"Li","414","13","","-","-","","","-","-"
"V","242","16","","63","21","743","46","608","07"
"Co","106","11","","116","31","255","13","150","11"
"Ni","514","13","","33","31","38","88","50","23"
"Cu","150","14","","170","27","177","10","419","09"
"Zn","108","27","","-","-","224","16","182","11"
"Ga","722","13","","166","25","209","36","1494","05"
"Rb","252","04","280","07","153","095","17","0379","23"
"Nb","052","38","","077","26","074","64","023","44"
"Mo","*-","*-","","*-","*-","022","401","*-","*-"
"Cd","*","*","","*-","*-","005","546","*","*"
"Sn","*","*","","*-","*-","03","304","*-","*-"
"Sb","*","*","","-","-","011","628","*-","*-"
"Cs","0140","20","0131","0039","106","0098","1493","00271","16"
"Hf","029","63","<02","035","52","034","005","0162","34"
"Ta","0030","70","","0063","64","019","001","00129","25"
"W","011","154","","-","-","112","52","189","14"
"Bi","-","-","","-","-","0015","1013","00060","107"
"Th","031","43","0260","0022","131","0025","695","007","142"
"Sr","324","15","342","52","71","789","41","134","21"
"Zr","98","70","884","96","59","110","128","52","28"
"Ba","314","11","311","21","68","319","44","191","10"
"Pb","101","35","142","159","54","19","167","053","28"
"U","023","65","0275","0025","153","005","1596","00245","29"
"Sc","-","-","","22","78","","","31","42"
"Y","329","22","311","58","43","78","37","24","55"
"La","177","40","188","16","77","227","40","0687","13"
"Ce","392","12","393","38","72","483","37","170","16"
"Pr","0447","13","0497","046","58","059","50","0203","18"
"Nd","187","10","186","21","56","249","64","100","18"
"Sm","0429","21","0427","062","48","073","006","0316","21"
"Eu","0128","17","0131","030","33","0378","0027","0265","17"
"Gd","0461","05","0461","082","37","097","72","0410","15"
"Tb","00788","10","0076","0157","34","0172","61","0077","22"
"Dy","0514","09","0500","106","31","119","56","051","28"
"Ho","0115","13","0110","0247","28","0268","60","0116","27"
"Er","0359","14","0351","072","20","0751","55","0341","27"
"Tm","0058","21","0051","0112","16","0121","73","0053","24"
"Yb","0396","16","039","072","25","08","63","0336","22"
"Lu","00644","06","0065","0108","28","0123","74","0050","29"
